"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Bifidobacterium breve-1685"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.9528822854363	0.234336808567907	0.455862269384762	0.000594884779629365	0.0336127072941929	0.000594884779629365	0.0224084715294619	NA	"abundance"	29	27
"Enterococcus gilvus-160453"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.58229011749685	0.234336808567907	0.635355709821308	0.000896338861178477	0.0336127072941929	0.000896338861178477	0.0224084715294619	NA	"abundance"	29	21
"Bifidobacterium breve-1685"	"PrePostFVT"	"During"	"PrePostFVTDuring"	-1.58327299293001	-0.0522805817536813	0.583140974353953	0.0227744315888688	0.224457149380644	0.0450301884435416	0.239198624165544	NA	"abundance"	29	27
"Bifidobacterium longum-216816"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.04073259811322	0.234336808567907	0.332380418570617	0.0140922787253295	0.224457149380644	0.0279859651309866	0.239198624165544	NA	"abundance"	29	19
"Enterococcus casseliflavus-37734"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.41446400429505	0.234336808567907	0.338986923030036	0.0216652420315455	0.224457149380644	0.0428611013508056	0.239198624165544	NA	"abundance"	29	20
"Enterococcus gilvus-160453"	"PrePostFVT"	"During"	"PrePostFVTDuring"	-2.20133067088417	-0.0522805817536813	0.785740521009846	0.0172361492830575	0.224457149380644	0.0172361492830575	0.239198624165544	NA	"abundance"	29	21
"Erysipelatoclostridium ramosum-1547"	"PrePostFVT"	"During"	"PrePostFVTDuring"	1.00157787184727	-0.0522805817536813	0.363989560596442	0.0225642011071998	0.224457149380644	0.0225642011071998	0.239198624165544	NA	"abundance"	29	28
"Enterococcus casseliflavus-37734"	"PrePostFVT"	"Post"	"PrePostFVTPost"	3.38139763588668	0	1.49748097323563	0.0239420959339354	0.224457149380644	0.0428611013508056	0.239198624165544	NA	"prevalence"	29	20
"[Ruminococcus] gnavus-33038"	"PrePostFVT"	"During"	"PrePostFVTDuring"	0.741912609517365	-0.0522805817536813	0.268117982947941	0.0342146597443196	0.26885494304926	0.0342146597443196	0.239198624165544	NA	"abundance"	29	29
"Clostridium paraputrificum-29363"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.2242378963294	0.234336808567907	0.307427196395792	0.0358473257399014	0.26885494304926	0.0704096207171002	0.257521158348683	NA	"abundance"	29	23
"Enterococcus avium-33945"	"PrePostFVT"	"During"	"PrePostFVTDuring"	1.20929559740579	-0.0522805817536813	0.537949311321921	0.0407372126742478	0.274410902818117	0.0407372126742478	0.239198624165544	NA	"abundance"	29	29
"Bifidobacterium catenulatum-1686"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.20750744429136	0	1.09554287700479	0.0439057444508987	0.274410902818117	0.0858837745060098	0.286279248353366	NA	"prevalence"	29	6
"Enterococcus sp. FDAARGOS_553-2420313"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.22142821613863	0.234336808567907	0.358545304308089	0.0478397248331089	0.275998412498705	0.0478397248331089	0.239198624165544	NA	"abundance"	29	28
"Bacteroides fragilis-817"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-0.429774003656491	0.234336808567907	0.130010677306299	0.0619550351436325	0.331901973983746	0.0619550351436325	0.257521158348683	NA	"abundance"	29	29
"Enterococcus sp. M190262-2582830"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.11224488288585	0.234336808567907	0.333870138947543	0.0664862299772163	0.332431149886082	0.0664862299772163	0.257521158348683	NA	"abundance"	29	29
"Enterococcus avium-33945"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.19485853804859	0.234336808567907	0.406651455918933	0.0721059243376312	0.337996520332646	0.0721059243376312	0.257521158348683	NA	"abundance"	29	29
"Bifidobacterium bifidum-1681"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.15946139429656	0	1.22212300664124	0.0772323337185901	0.340730884052604	0.148499834065561	0.412499539071002	NA	"prevalence"	29	23
"Enterococcus sp. FDAARGOS_375-2060307"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.85333048619509	0	1.87377457007265	0.127815886121565	0.504536392585124	0.127815886121565	0.397598175823139	NA	"prevalence"	29	5
"Eubacterium limosum-1736"	"PrePostFVT"	"During"	"PrePostFVTDuring"	0.423274004407883	-0.0522805817536813	0.20420062858052	0.135183379779867	0.506937674174502	0.135183379779867	0.397598175823139	NA	"abundance"	29	29
"Bifidobacterium longum-216816"	"PrePostFVT"	"During"	"PrePostFVTDuring"	-0.704939763801449	-0.0522805817536813	0.441944787546987	0.203418036152797	0.663319683106947	0.365457174873334	0.794472119289855	NA	"abundance"	29	19
"Erysipelatoclostridium ramosum-1547"	"PrePostFVT"	"Post"	"PrePostFVTPost"	0.778416093969129	0.234336808567907	0.278810941225915	0.20182885864201	0.663319683106947	0.20182885864201	0.504572146605026	NA	"abundance"	29	28
"Anaerostipes caccae-105841"	"PrePostFVT"	"During"	"PrePostFVTDuring"	1.7917136343933	0	1.39442386114889	0.198822615499317	0.663319683106947	0.198822615499317	0.504572146605026	NA	"prevalence"	29	4
"Gordonibacter urolithinfaciens-1335613"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.2955163152961	0	1.08687560277321	0.233275460847255	0.728985815147673	0.412133481061011	0.858611418877107	NA	"prevalence"	29	10
"Bifidobacterium longum-216816"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.09861231089387	0	0.957427535195965	0.251190472284168	0.753571416852505	0.0279859651309866	0.239198624165544	NA	"prevalence"	29	19
"[Ruminococcus] gnavus-33038"	"PrePostFVT"	"Post"	"PrePostFVTPost"	0.656425272826147	0.234336808567907	0.202678144258431	0.262707096876871	0.756807009201024	0.262707096876871	0.625493087802074	NA	"abundance"	29	29
"Bifidobacterium catenulatum-1686"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.73209089268862	0.234336808567907	1.53148430190923	0.272450523312369	0.756807009201024	0.0858837745060098	0.286279248353366	NA	"abundance"	29	6
"Bifidobacterium bifidum-1681"	"PrePostFVT"	"During"	"PrePostFVTDuring"	-0.531367009592478	-0.0522805817536813	0.395902403856582	0.296803225266216	0.776727351144375	0.505514296004004	0.956935003938901	NA	"abundance"	29	23
"Clostridium paraputrificum-29363"	"PrePostFVT"	"During"	"PrePostFVTDuring"	-0.522106174756694	-0.0522805817536813	0.395840987089445	0.304834481671456	0.776727351144375	0.516744902127007	0.956935003938901	NA	"abundance"	29	23
"Clostridium paraputrificum-29363"	"PrePostFVT"	"During"	"PrePostFVTDuring"	1.2694300203944	0	1.25218332909458	0.31069094045775	0.776727351144375	0.516744902127007	0.956935003938901	NA	"prevalence"	29	23
"Bacteroides fragilis-817"	"PrePostFVT"	"During"	"PrePostFVTDuring"	-0.332051268926899	-0.0522805817536813	0.171987959967768	0.338097663852614	0.780360672013548	0.338097663852614	0.768403781483214	NA	"abundance"	29	29
"Enterococcus casseliflavus-37734"	"PrePostFVT"	"During"	"PrePostFVTDuring"	0.324868465540634	-0.0522805817536813	0.429367066552562	0.426918828230843	0.780360672013548	0.67157797056369	0.972479117528067	NA	"abundance"	29	20
"Enterococcus faecalis-1351"	"PrePostFVT"	"During"	"PrePostFVTDuring"	0.498716777112579	-0.0522805817536813	0.676115567254727	0.434964941149354	0.780360672013548	0.680735382269647	0.972479117528067	NA	"abundance"	29	17
"Bifidobacterium bifidum-1681"	"PrePostFVT"	"During"	"PrePostFVTDuring"	0.980831246193871	0	1.29099991377741	0.447406785287767	0.780360672013548	0.505514296004004	0.956935003938901	NA	"prevalence"	29	23
"Bifidobacterium longum-216816"	"PrePostFVT"	"During"	"PrePostFVTDuring"	-0.980829229548045	0	1.20761498119707	0.416674816840547	0.780360672013548	0.365457174873334	0.794472119289855	NA	"prevalence"	29	19
"Clostridium paraputrificum-29363"	"PrePostFVT"	"Post"	"PrePostFVTPost"	6.80239465241212	0	8.05152965593567	0.398190445063688	0.780360672013548	0.0704096207171002	0.257521158348683	NA	"prevalence"	29	23
"Enterococcus casseliflavus-37734"	"PrePostFVT"	"During"	"PrePostFVTDuring"	0.954218407547054	0	1.24488049920212	0.44337048830984	0.780360672013548	0.67157797056369	0.972479117528067	NA	"prevalence"	29	20
"Enterococcus faecalis-1351"	"PrePostFVT"	"During"	"PrePostFVTDuring"	-0.919151865499033	0	1.2004911693757	0.443886666640018	0.780360672013548	0.680735382269647	0.972479117528067	NA	"prevalence"	29	17
"Enterococcus faecium-1352"	"PrePostFVT"	"Post"	"PrePostFVTPost"	4.2635347210328	0	4.33484459386012	0.325337010175701	0.780360672013548	0.544829850161337	0.972479117528067	NA	"prevalence"	29	26
"Enterococcus gallinarum-1353"	"PrePostFVT"	"Post"	"PrePostFVTPost"	0.799832620461968	0	0.967667902307759	0.408488232001676	0.780360672013548	0.650113828319496	0.972479117528067	NA	"prevalence"	29	7
"Gordonibacter urolithinfaciens-1335613"	"PrePostFVT"	"During"	"PrePostFVTDuring"	1.21432264715877	0	1.37081531244072	0.375703904810379	0.780360672013548	0.610254385530991	0.972479117528067	NA	"prevalence"	29	10
"Lactobacillus johnsonii-33959"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-0.944425864067994	0	1.02933693534981	0.35887599838282	0.780360672013548	0.588960014550374	0.972479117528067	NA	"prevalence"	29	6
"Neglecta timonensis-1776382"	"PrePostFVT"	"During"	"PrePostFVTDuring"	0.210779172577547	-0.0522805817536813	0.302839460353322	0.470210984890076	0.80149599697172	0.719323599468856	0.980223408873345	NA	"abundance"	29	26
"Escherichia coli-562"	"PrePostFVT"	"During"	"PrePostFVTDuring"	0.134632059462205	-0.0522805817536813	0.161205105295105	0.495953206021127	0.826588676701879	0.495953206021127	0.956935003938901	NA	"abundance"	29	29
"Enterococcus faecalis-1351"	"PrePostFVT"	"Post"	"PrePostFVTPost"	0.579259148854841	0.234336808567907	0.436430722014856	0.509514718483891	0.830730519267214	0.759424188616063	0.980223408873345	NA	"abundance"	29	17
"Enterococcus faecium-1352"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-0.039100479625997	0.234336808567907	0.311971997485874	0.527589041904779	0.84189740729486	0.544829850161337	0.972479117528067	NA	"abundance"	29	26
"Bifidobacterium catenulatum-1686"	"PrePostFVT"	"During"	"PrePostFVTDuring"	-6.8023947633201	0	13.4460502277917	0.612924870718553	0.938150312324316	0.612924870718553	0.972479117528067	NA	"prevalence"	29	6
"Enterococcus faecium-1352"	"PrePostFVT"	"During"	"PrePostFVTDuring"	-0.252417503789123	-0.0522805817536813	0.431051259504212	0.665983181919831	0.960552666230526	0.8884327652396	1	NA	"abundance"	29	26
"Eubacterium limosum-1736"	"PrePostFVT"	"Post"	"PrePostFVTPost"	0.0799064250848092	0.234336808567907	0.154361165939178	0.65733819980051	0.960552666230526	0.65733819980051	0.972479117528067	NA	"abundance"	29	29
"Lactobacillus johnsonii-33959"	"PrePostFVT"	"During"	"PrePostFVTDuring"	0.249224187274315	-0.0522805817536813	0.606269426348866	0.65761280398931	0.960552666230526	0.882771008007937	1	NA	"abundance"	29	6
"Lactobacillus johnsonii-33959"	"PrePostFVT"	"During"	"PrePostFVTDuring"	-0.538912975348183	0	1.31383680410321	0.681672015583901	0.964630210731935	0.882771008007937	1	NA	"prevalence"	29	6
"Bifidobacterium bifidum-1681"	"PrePostFVT"	"Post"	"PrePostFVTPost"	0.27431525898361	0.234336808567907	0.302707553930242	0.92234397237242	1	0.148499834065561	0.412499539071002	NA	"abundance"	29	23
