feature	Gordonibacter urolithinfaciens-1335613	Bifidobacterium bifidum-1681	Bifidobacterium breve-1685	Bifidobacterium catenulatum-1686	Bifidobacterium longum-216816	Erysipelatoclostridium ramosum-1547	Streptococcus salivarius-1304	Lactobacillus johnsonii-33959	Enterococcus faecalis-1351	Enterococcus faecium-1352	Enterococcus gallinarum-1353	Enterococcus avium-33945	Enterococcus casseliflavus-37734	Enterococcus durans-53345	Enterococcus gilvus-160453	Enterococcus sp. FDAARGOS_375-2060307	Enterococcus sp. FDAARGOS_553-2420313	Enterococcus sp. M190262-2582830	Eubacterium limosum-1736	Anaeromassilibacillus senegalensis-1673717	Neglecta timonensis-1776382	Anaerotruncus rubiinfantis-1720200	Clostridium paraputrificum-29363	Anaerostipes caccae-105841	Anaerostipes rhamnosivorans-1229621	[Ruminococcus] gnavus-33038	Proteus mirabilis-584	Escherichia coli-562	Klebsiella oxytoca-571	Klebsiella pneumoniae-573	Bacteroides fragilis-817
VIVO7-FEC-16S-MAY29_F23	NA	NA	-6.50172012578901	-7.06562101098234	NA	-5.36036427654347	NA	NA	NA	NA	NA	-7.12975134840205	NA	NA	-6.45989995009438	NA	-6.41925796559704	-6.41925796559704	-5.88874324889826	NA	NA	NA	NA	-5.48065851026118	NA	-2.58918296703935	NA	-6.50172012578901	NA	NA	-0.517050362872117
VIVO7-FEC-16S-JUN25_F23	-8.48655349262453	-7.48655349262453	-7.73809225962049	NA	-9.04294684114891	-5.99085833000046	NA	-9.42996996425816	-7.22351908679073	-7.54544718167809	NA	-4.1136013947127	NA	NA	-5.21752034616929	NA	-5.45798434042776	-5.45798434042776	-5.34250712300782	-9.67097806376195	NA	NA	NA	-8.22351908679073	NA	-1.3927398192218	NA	-5.29120589430231	-8.13040968239925	NA	-1.37135374323908
VIVO7-FEC-16S-MAY30_F15	-9.23776764722336	-8.8967307293883	-9.23776764722336	-9.82273014794452	-9.82273014794452	-6.41673778826868	NA	NA	-9.55969574211073	-8.8967307293883	-9.05719540158154	-6.54474540064475	NA	NA	-5.85003749394026	NA	-4.77397083602466	-4.81374136471727	-5.13343098740863	NA	-7.14465824283188	NA	NA	-5.07319588027526	-9.33730332077428	-1.98226691407498	NA	-4.95483368395186	NA	NA	-0.934900286250489
VIVO7-FEC-16S-JUN11_F16	NA	NA	NA	NA	NA	-6.11489909878231	NA	NA	NA	-7.89250667744586	-8.11489909878231	-6.82539248158733	NA	NA	-4.99942188136237	NA	-3.39912772688523	-3.39912772688523	-5.30754417672471	NA	-7.33062778983775	NA	NA	-4.93609594599355	NA	-2.55860594089242	NA	-4.33645686863994	NA	NA	-1.10553699557862
VIVO7-FEC-16S-JUN7_M12	NA	-8.91101740779698	-8.6630898943534	NA	-9.32605490707583	-5.80249295101882	NA	NA	NA	-8.38745545173997	NA	-6.82355456654665	NA	NA	-4.97437946879441	NA	-2.48685111897889	-2.47222555521872	-5.28896558834061	NA	-6.70156404216804	NA	NA	-5.34877498357591	-9.45158578915969	-2.70889358396652	NA	-5.31110456560986	NA	NA	-1.58010052968237
VIVO7-FEC-16S-JUN21_F23	-9.8988695259452	-8.39363421769478	-8.7033187168274	-10.6831408348898	-9.56766361746983	-6.04249420159093	NA	NA	-7.92232849876919	-9.39363421769478	-8.54928508815497	-4.60632523783893	-10.4607484135533	NA	-6.03928464511504	NA	-6.27186525440712	-6.01071549291827	-5.69319449955369	-10.4607484135533	NA	NA	NA	-7.86438114955991	-10.7656029950817	-2.27894540132233	-9.80867171697362	-4.28226139860758	-8.51321583344745	NA	-0.745194922052463
VIVO7-FEC-16S-JUN7_M14	NA	NA	NA	NA	NA	-7.37187562516475	NA	NA	NA	NA	NA	NA	NA	NA	-5.10338678923885	NA	-3.35557381283565	-3.33945414747238	-6.02395232174445	NA	-7.24634474308089	NA	NA	-5.6218538781731	NA	-2.67143590702366	NA	-4.38836374795332	NA	NA	-0.93952354058374
VIVO7-FEC-16S-MAY30_M13	NA	-8.62497817956904	NA	NA	NA	-6.77698127301409	NA	NA	NA	-8.36194377373524	NA	-6.73745290882745	NA	NA	-5.73745290882745	NA	-3.82796520173289	-3.82796520173289	-5.33219643034119	NA	-6.69897876101281	NA	NA	-4.73745290882745	NA	-1.8902685593432	NA	-4.61598939634178	NA	NA	-1.2045968383724
VIVO7-FEC-16S-JUL19_F23	NA	-7.35663536754494	-8.9415978682661	NA	NA	-6.71277917777021	NA	-8.77167286682378	-7.241158150125	-7.13424294620849	-7.73214450263715	-3.21879033709655	-8.77167286682378	-9.241158150125	-4.31588902520163	NA	-5.4338032280674	-5.4338032280674	-5.18671036610263	NA	NA	NA	NA	-8.08361687313852	NA	-1.3618105387391	NA	-5.2833863855143	-9.4821662496288	NA	-1.70618193266357
VIVO7-FEC-16S-JUN10_F23	NA	-9.70043971814109	-8	-10.5629361943912	-9.4374053123073	-6.24758075342728	NA	NA	-7.57942431717973	-8.97797369367	-10.4374053123073	-5.0422282353893	-10.7004397181411	NA	-5.92433573006793	NA	-6.19581932573754	-6.19581932573754	-5.4374053123073	NA	NA	NA	NA	-5.14585086646346	-9.26748031086499	-1.71830174990117	-10.1154772174199	-5.27753397552891	-7.8129144473995	NA	-0.974221558808893
