sample,sum_len
VIVO8_FEC_VLP_FEB28_M31,"1,209,853,049"
VIVO8_FEC_VLP_JAN06_F12,"326,725,122"
VIVO8_FEC_VLP_JAN06_F12,"332,868,575"
VIVO8_FEC_VLP_JAN15_F14,"735,840,244"
VIVO8_FEC_VLP_JAN15_F14,"747,510,353"
VIVO8_FEC_VLP_JAN17_F2,"288,383,368"
VIVO8_FEC_VLP_JAN17_F2,"292,838,166"
VIVO8_FEC_VLP_JAN23_F12,"251,545,123"
VIVO8_FEC_VLP_JAN23_F12,"254,921,345"
VIVO8_FEC_VLP_JAN28_F14,"640,887,704"
VIVO8_FEC_VLP_JAN28_F14,"652,166,881"
VIVO8_FEC_VLP_JAN30_F24,"1,137,626,296"
VIVO8_FEC_VLP_JAN30_F24,"1,157,615,093"
VIVO8_FEC_VLP_JAN30_F25,"1,366,984,954"
VIVO8_FEC_VLP_JAN30_F25,"1,390,812,480"
VIVO8_FEC_VLP_JAN30_M23,"865,740,310"
VIVO8_FEC_VLP_JAN30_M23,"880,022,886"
VIVO8_FEC_VLP_MAR07_F28,"690,334,704"
VIVO8_FEC_VLP_MAR07_F28,"703,581,975"
VIVO8_FEC_VLP_MAR07_F29,"657,324,939"
VIVO8_FEC_VLP_MAR07_F29,"668,924,158"
VIVO8_FEC_VLP_MAR07_F32,"176,124,354"
VIVO8_FEC_VLP_MAR07_F32,"177,888,169"
VIVO8_FEC_VLP_MAR07_F33,"157,754,264"
VIVO8_FEC_VLP_MAR07_F33,"159,561,743"
VIVO8_FEC_VLP_MAR07_M26,"549,216,380"
VIVO8_FEC_VLP_MAR07_M26,"557,564,780"
VIVO8_FEC_VLP_MAR07_M27,"296,064,400"
VIVO8_FEC_VLP_MAR07_M27,"300,569,799"
VIVO8_FEC_VLP_MAR07_M30,"214,723,883"
VIVO8_FEC_VLP_MAR07_M30,"217,696,434"
VIVO8_FEC_VLP_MAR07_M31,"39,828,745"
VIVO8_FEC_VLP_MAR07_M31,"40,091,084"
VIVO8_FEC_VLP_MAR25_F24,"106,640,297"
VIVO8_FEC_VLP_MAR25_F24,"107,674,152"
VIVO8_FEC_VLP_MAR25_F25,"776,007,660"
VIVO8_FEC_VLP_MAR25_F25,"789,538,888"
VIVO8_FEC_VLP_MAR25_M23,"663,632,836"
VIVO8_FEC_VLP_MAR25_M23,"674,996,961"
VIVO8_VLP_DONOR1,"109,937,159"
VIVO8_VLP_DONOR1,"117,279,990"
VIVO8_VLP_DONOR2,"89,683,446"
VIVO8_VLP_DONOR2,"96,035,841"
