Date,AnimalID,SampleID,SampleName,Group,Dam,DonorID,SampleType,PrePostFVT,PostnatalDay
JUN10,F29,77,VIVO7-FEC-16S-JUN10_F29,2,F8,1,Pup,Pre,22
JUN10,M25,73,VIVO7-FEC-16S-JUN10_M25,2,F8,1,Pup,Pre,22
JUN10,M26,74,VIVO7-FEC-16S-JUN10_M26,2,F8,1,Pup,Pre,22
JUN18,F27,80,VIVO7-FEC-16S-JUN18_F27,2,F8,1,Pup,Pre,30
JUN18,F29,82,VIVO7-FEC-16S-JUN18_F29,2,F8,1,Pup,Pre,30
JUN18,F8,12,VIVO7-FEC-16S-JUN18_F8,2,,1,Breeder,,
JUN18,M25,78,VIVO7-FEC-16S-JUN18_M25,2,F8,1,Pup,Pre,30
JUN18,M26,79,VIVO7-FEC-16S-JUN18_M26,2,F8,1,Pup,Pre,30
JUN18,F28,81,VIVO7-FEC-16S-JUN18_F28,2,F8,1,Pup,Pre,30
JUN21,F27,85,VIVO7-FEC-16S-JUN21_F27,2,F8,1,Pup,During,33
JUN21,F28,86,VIVO7-FEC-16S-JUN21_F28,2,F8,1,Pup,During,33
JUN21,F29,87,VIVO7-FEC-16S-JUN21_F29,2,F8,1,Pup,During,33
JUN21,M25,83,VIVO7-FEC-16S-JUN21_M25,2,F8,1,Pup,During,33
JUN21,M26,84,VIVO7-FEC-16S-JUN21_M26,2,F8,1,Pup,During,33
JUN28,F27,90,VIVO7-FEC-16S-JUN28_F27,2,F8,1,Pup,Post,40
JUN28,F28,91,VIVO7-FEC-16S-JUN28_F28,2,F8,1,Pup,Post,40
JUN28,F29,92,VIVO7-FEC-16S-JUN28_F29,2,F8,1,Pup,Post,40
JUN28,M25,88,VIVO7-FEC-16S-JUN28_M25,2,F8,1,Pup,Post,40
JUN28,M26,89,VIVO7-FEC-16S-JUN28_M26,2,F8,1,Pup,Post,40
JUL3,F27,95,VIVO7-FEC-16S-JUL3_F27,2,F8,1,Pup,Post,45
JUL3,F28,96,VIVO7-FEC-16S-JUL3_F28,2,F8,1,Pup,Post,45
JUL3,F29,97,VIVO7-FEC-16S-JUL3_F29,2,F8,1,Pup,Post,45
JUL3,M25,93,VIVO7-FEC-16S-JUL3_M25,2,F8,1,Pup,Post,45
JUL3,M26,94,VIVO7-FEC-16S-JUL3_M26,2,F8,1,Pup,Post,45
AUG2,F27,100,VIVO7-FEC-16S-AUG2_F27,2,F8,1,Pup,Post,75
AUG2,F28,101,VIVO7-FEC-16S-AUG2_F28,2,F8,1,Pup,Post,75
AUG2,F29,102,VIVO7-FEC-16S-AUG2_F29,2,F8,1,Pup,Post,75
AUG2,M25,98,VIVO7-FEC-16S-AUG2_M25,2,F8,1,Pup,Post,75
AUG2,M26,99,VIVO7-FEC-16S-AUG2_M26,2,F8,1,Pup,Post,75
NA,NA,NA,VIVO7-DONOR1,NA,NA,1,Inoculum,,
NA,NA,NA,VIVO7-DONOR2,NA,NA,2,Inoculum,,
