"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"NODE_1000_length_3623_cov_9.385090"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.27869231293253	-0.289783364067339	0.433908616034452	7.94737349495637e-06	0.0224354353762618	7.94737349495637e-06	0.013836377254719	NA	"abundance"	26	26
"NODE_109_length_17329_cov_21.961503"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.20462559776266	-0.289783364067339	0.491128091915063	8.44471595787521e-05	0.0476788662981634	8.44471595787521e-05	0.0294045009653215	NA	"abundance"	26	26
"NODE_198_length_8163_cov_9.324741"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.24542919876445	-0.289783364067339	0.502963567010456	6.01959316118382e-05	0.0476788662981634	6.01959316118382e-05	0.0294045009653215	NA	"abundance"	26	26
"NODE_368_length_3350_cov_6.287102"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.22971157167506	-0.289783364067339	0.393248368499262	8.14308760570079e-05	0.0476788662981634	8.14308760570079e-05	0.0294045009653215	NA	"abundance"	26	26
"NODE_502_length_4680_cov_4.082162"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.41625645756093	-0.289783364067339	0.41337618831821	4.89023734326415e-05	0.0476788662981634	4.89023734326415e-05	0.0294045009653215	NA	"abundance"	26	26
"NODE_244_length_13727_cov_20.945802"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.31619142221502	-0.289783364067339	0.435662809120898	0.000152489178193293	0.0717461583399444	0.000152489178193293	0.0442472765390872	NA	"abundance"	26	25
"NODE_168_length_21353_cov_13.414217"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.17924138147521	-0.289783364067339	0.332012555931418	0.000276839771689886	0.0982283472319443	0.000276839771689886	0.0605793668192756	NA	"abundance"	26	26
"NODE_2185_length_2811_cov_5.858853"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.02797382474352	-0.289783364067339	0.404274632796174	0.000347957305107844	0.0982283472319443	0.000347957305107844	0.0605793668192756	NA	"abundance"	26	26
"NODE_650_length_2189_cov_5.598875"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.97444924790752	-0.289783364067339	0.527040927826965	0.000343210180357581	0.0982283472319443	0.000343210180357581	0.0605793668192756	NA	"abundance"	26	26
"NODE_971_length_2671_cov_4.974006"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.00297795012122	-0.289783364067339	0.391108252788422	0.000295053230182106	0.0982283472319443	0.000295053230182106	0.0605793668192756	NA	"abundance"	26	25
"NODE_626_length_2561_cov_6.706704"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.28427541445249	-0.289783364067339	0.58806844330889	0.000382897743440824	0.0982654845212223	0.000382897743440824	0.0606022701209522	NA	"abundance"	26	26
"NODE_244_length_13727_cov_20.945802"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-4.23454138694841e-14	0	12.3406153100066	0.999999999999997	1	0.000152489178193293	0.0442472765390872	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	26	25
"NODE_971_length_2671_cov_4.974006"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-4.23454138694841e-14	0	12.3406153100066	0.999999999999997	1	0.000295053230182106	0.0605793668192756	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	26	25
"NODE_1000_length_3623_cov_9.385090"	"PrePostFVT"	"Post"	"PrePostFVTPost"	NA	0	NA	NA	NA	7.94737349495637e-06	0.013836377254719	"All logistic values are the same"	"prevalence"	26	26
"NODE_109_length_17329_cov_21.961503"	"PrePostFVT"	"Post"	"PrePostFVTPost"	NA	0	NA	NA	NA	8.44471595787521e-05	0.0294045009653215	"All logistic values are the same"	"prevalence"	26	26
"NODE_168_length_21353_cov_13.414217"	"PrePostFVT"	"Post"	"PrePostFVTPost"	NA	0	NA	NA	NA	0.000276839771689886	0.0605793668192756	"All logistic values are the same"	"prevalence"	26	26
"NODE_198_length_8163_cov_9.324741"	"PrePostFVT"	"Post"	"PrePostFVTPost"	NA	0	NA	NA	NA	6.01959316118382e-05	0.0294045009653215	"All logistic values are the same"	"prevalence"	26	26
"NODE_2185_length_2811_cov_5.858853"	"PrePostFVT"	"Post"	"PrePostFVTPost"	NA	0	NA	NA	NA	0.000347957305107844	0.0605793668192756	"All logistic values are the same"	"prevalence"	26	26
"NODE_368_length_3350_cov_6.287102"	"PrePostFVT"	"Post"	"PrePostFVTPost"	NA	0	NA	NA	NA	8.14308760570079e-05	0.0294045009653215	"All logistic values are the same"	"prevalence"	26	26
"NODE_502_length_4680_cov_4.082162"	"PrePostFVT"	"Post"	"PrePostFVTPost"	NA	0	NA	NA	NA	4.89023734326415e-05	0.0294045009653215	"All logistic values are the same"	"prevalence"	26	26
"NODE_626_length_2561_cov_6.706704"	"PrePostFVT"	"Post"	"PrePostFVTPost"	NA	0	NA	NA	NA	0.000382897743440824	0.0606022701209522	"All logistic values are the same"	"prevalence"	26	26
"NODE_650_length_2189_cov_5.598875"	"PrePostFVT"	"Post"	"PrePostFVTPost"	NA	0	NA	NA	NA	0.000343210180357581	0.0605793668192756	"All logistic values are the same"	"prevalence"	26	26
