"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"NODE_1000_length_3623_cov_9.385090"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.27869231293253	-0.289783364067339	0.433908616034452	7.94737349495637e-06	0.0224354353762618	7.94737349495637e-06	0.013836377254719	NA	"abundance"	26	26
"NODE_109_length_17329_cov_21.961503"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.20462559776266	-0.289783364067339	0.491128091915063	8.44471595787521e-05	0.0476788662981634	8.44471595787521e-05	0.0294045009653215	NA	"abundance"	26	26
"NODE_198_length_8163_cov_9.324741"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.24542919876445	-0.289783364067339	0.502963567010456	6.01959316118382e-05	0.0476788662981634	6.01959316118382e-05	0.0294045009653215	NA	"abundance"	26	26
"NODE_368_length_3350_cov_6.287102"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.22971157167506	-0.289783364067339	0.393248368499262	8.14308760570079e-05	0.0476788662981634	8.14308760570079e-05	0.0294045009653215	NA	"abundance"	26	26
"NODE_502_length_4680_cov_4.082162"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.41625645756093	-0.289783364067339	0.41337618831821	4.89023734326415e-05	0.0476788662981634	4.89023734326415e-05	0.0294045009653215	NA	"abundance"	26	26
"NODE_244_length_13727_cov_20.945802"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.31619142221502	-0.289783364067339	0.435662809120898	0.000152489178193293	0.0717461583399444	0.000152489178193293	0.0442472765390872	NA	"abundance"	26	25
"NODE_168_length_21353_cov_13.414217"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.17924138147521	-0.289783364067339	0.332012555931418	0.000276839771689886	0.0982283472319443	0.000276839771689886	0.0605793668192756	NA	"abundance"	26	26
"NODE_2185_length_2811_cov_5.858853"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.02797382474352	-0.289783364067339	0.404274632796174	0.000347957305107844	0.0982283472319443	0.000347957305107844	0.0605793668192756	NA	"abundance"	26	26
"NODE_650_length_2189_cov_5.598875"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.97444924790752	-0.289783364067339	0.527040927826965	0.000343210180357581	0.0982283472319443	0.000343210180357581	0.0605793668192756	NA	"abundance"	26	26
"NODE_971_length_2671_cov_4.974006"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.00297795012122	-0.289783364067339	0.391108252788422	0.000295053230182106	0.0982283472319443	0.000295053230182106	0.0605793668192756	NA	"abundance"	26	25
"NODE_626_length_2561_cov_6.706704"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.28427541445249	-0.289783364067339	0.58806844330889	0.000382897743440824	0.0982654845212223	0.000382897743440824	0.0606022701209522	NA	"abundance"	26	26
"NODE_1352_length_2592_cov_8.143871"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.99957061142826	-0.289783364067339	0.587772309928602	0.0011667245183324	0.202058472977724	0.00233208779056312	0.166580652463964	NA	"abundance"	26	25
"NODE_286_length_13153_cov_47.017331"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.07012390513637	-0.289783364067339	0.472292502199793	0.00121678853723745	0.202058472977724	0.00121678853723745	0.162956064871569	NA	"abundance"	26	25
"NODE_403_length_17644_cov_1809.089886"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.49812737858593	-0.289783364067339	0.674414969056704	0.00104385537503578	0.202058472977724	0.00208662111602756	0.166580652463964	NA	"abundance"	26	19
"NODE_676_length_9711_cov_334.290079"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.61213096375347	-0.289783364067339	0.693558126789987	0.00109267189943177	0.202058472977724	0.00218414986698372	0.166580652463964	NA	"abundance"	26	18
"NODE_714_length_7001_cov_23.326663"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.27110683917163	-0.289783364067339	0.644367846578542	0.00103324624433243	0.202058472977724	0.00206542489086344	0.166580652463964	NA	"abundance"	26	24
"NODE_816_length_4609_cov_5.214756"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.28418228251965	-0.289783364067339	0.513979422673541	0.000985218364127538	0.202058472977724	0.000985218364127538	0.142938764328837	NA	"abundance"	26	24
"NODE_342_length_10504_cov_7.705618"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.17521069003464	-0.289783364067339	0.506115158755387	0.00132829024058768	0.208320186065502	0.00132829024058768	0.165182379204511	NA	"abundance"	26	25
"NODE_1086_length_7321_cov_7.431599"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.07946643605192	-0.289783364067339	0.484286796141873	0.0015392523012663	0.228700486656566	0.0015392523012663	0.166580652463964	NA	"abundance"	26	24
"NODE_492_length_8732_cov_6.818716"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.05824405943228	-0.289783364067339	0.486057476704369	0.00163860385206039	0.231288933718324	0.00163860385206039	0.166580652463964	NA	"abundance"	26	25
"NODE_1046_length_5621_cov_125.866870"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.91917992363074	-0.289783364067339	0.8201222772303	0.00397088156302918	0.232728914958528	0.00792599522567076	0.178705918231657	NA	"abundance"	26	14
"NODE_1070_length_4765_cov_8.258599"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.07952456145599	-0.289783364067339	0.559348919658998	0.00449156105835911	0.232728914958528	0.00449156105835911	0.177850570113042	NA	"abundance"	26	26
"NODE_1150_length_3473_cov_5.646870"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.17696653201764	-0.289783364067339	0.577254429722009	0.00383159597925209	0.232728914958528	0.00383159597925209	0.177850570113042	NA	"abundance"	26	25
"NODE_129_length_27218_cov_9.424806"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.16197422139818	-0.289783364067339	0.547918901506267	0.00297466673277846	0.232728914958528	0.00594048482338582	0.178705918231657	NA	"abundance"	26	12
"NODE_1368_length_3847_cov_6.648734"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.08359030778071	-0.289783364067339	0.534285221041364	0.00330345473884789	0.232728914958528	0.00659599666448416	0.178705918231657	NA	"abundance"	26	24
"NODE_1376_length_2860_cov_17.377184"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.9871645927831	-0.289783364067339	0.487489409506356	0.00235310705002321	0.232728914958528	0.00235310705002321	0.166580652463964	NA	"abundance"	26	25
"NODE_1414_length_2598_cov_9.086119"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.27127609686425	-0.289783364067339	0.624122440746395	0.00469909605123489	0.232728914958528	0.00469909605123489	0.177850570113042	NA	"abundance"	26	26
"NODE_1665_length_2883_cov_17.205799"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.09085267612271	-0.289783364067339	0.557065329958169	0.00414053614567471	0.232728914958528	0.00414053614567471	0.177850570113042	NA	"abundance"	26	25
"NODE_1816_length_3002_cov_18.713607"	"PrePostFVT"	"Post"	"PrePostFVTPost"	0.490386773813781	-0.289783364067339	0.165851375324266	0.00296495466066315	0.232728914958528	0.00592111836518651	0.178705918231657	NA	"abundance"	26	14
"NODE_1931_length_2526_cov_16.422096"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.94728772520742	-0.289783364067339	0.518117404759497	0.00454834156600448	0.232728914958528	0.00454834156600448	0.177850570113042	NA	"abundance"	26	25
"NODE_1960_length_3491_cov_16.300058"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-2.11525070178516	-0.289783364067339	0.545105465682688	0.0033417374891211	0.232728914958528	0.0033417374891211	0.177850570113042	NA	"abundance"	26	24
