tax_id	VIVO6-FEC-16S-MAY19_F8.fq	VIVO6-FEC-16S-MAY16_F9.fq	VIVO6-FEC-16S-JUN15_F30.fq	VIVO6-FEC-16S-JUN2_M21.fq	VIVO6-FEC-16S-JUN14_F50.fq	VIVO6-FEC-16S-JUN9_F46.fq	VIVO6-FEC-16S-MAY12_F15.fq	VIVO6-FEC-16S-JUN7_M36.fq	VIVO6-FEC-16S-JUN8_F26.fq	VIVO6-FEC-16S-MAY3_F9.fq	VIVO6-FEC-16S-MAY19_F12.fq	VIVO6-FEC-16S-MAY19_F3.fq	VIVO6-FEC-16S-JUN1_F50.fq	VIVO6-FEC-16S-JUN16_F41.fq	VIVO6-FEC-16S-JUN2_M19.fq	VIVO6-FEC-16S-JUN13_M36.fq	VIVO6-FEC-16S-JUN19_M20.fq	VIVO6-FEC-16S-JUN5_F27.fq	VIVO6-FEC-16S-JUN19_M40.fq	VIVO6-FEC-16S-MAY31_POOL-F9.fq	VIVO6-FEC-16S-JUN14_F12.fq	VIVO6-FEC-16S-JUN19_M37.fq	VIVO6-FEC-16S-MAY3_F17.fq	VIVO6-FEC-16S-JUN13_M21.fq	VIVO6-FEC-16S-JUN13_F8.fq	VIVO6-FEC-16S-JUN21_F30.fq	VIVO6-FEC-16S-JUN19_F26.fq	VIVO6-FEC-16S-JUN5_F30.fq	VIVO6-FEC-16S-MAY19_F14.fq	VIVO6-FEC-16S-JUN7_F41.fq	VIVO6-FEC-16S-MAY5_F11.fq	VIVO6-FEC-16S-JUN13_M19.fq	VIVO6-FEC-16S-JUN9_M40.fq	VIVO6-FEC-16S-APR10_F9.fq	VIVO6-FEC-16S-MAY25_F15.fq	VIVO6-FEC-16S-APR10_F2.fq	VIVO6-FEC-16S-JUN2_F27.fq	VIVO6-FEC-16S-JUN15_M36.fq	VIVO6-FEC-16S-JUN28_F46.fq	VIVO6-FEC-16S-MAY19_F2.fq	VIVO6-FEC-16S-JUN21_F15.fq	VIVO6-FEC-16S-JUN7_M37.fq	VIVO6-16S-DONOR1.fq	VIVO6-FEC-16S-JUN19_M19.fq	VIVO6-FEC-16S-JUN15_F31.fq	VIVO6-FEC-16S-JUN2_M20.fq	VIVO6-FEC-16S-JUN21_F46.fq	VIVO6-FEC-16S-JUN9_F14.fq	VIVO6-FEC-16S-APR26_F17.fq	VIVO6-FEC-16S-APR10_F11.fq	VIVO6-FEC-16S-JUN5_F26.fq	VIVO6-FEC-16S-JUN19_F41.fq	VIVO6-FEC-16S-JUN13_M37.fq	VIVO6-FEC-16S-JUN19_M21.fq	VIVO6-FEC-16S-JUN5_F2.fq	VIVO6-FEC-16S-JUN16_M40.fq	VIVO6-FEC-16S-JUN2_F3.fq	VIVO6-FEC-16S-JUN5_F31.fq	VIVO6-FEC-16S-JUN7_POOL-F15.fq	VIVO6-FEC-16S-JUN19_F27.fq	VIVO6-FEC-16S-JUN13_F9.fq	VIVO6-FEC-16S-JUN21_F31.fq	VIVO6-FEC-16S-JUN19_M36.fq	VIVO6-FEC-16S-APR10_F17.fq	VIVO6-FEC-16S-JUN13_M20.fq	VIVO6-FEC-16S-APR26_F11.fq	VIVO6-FEC-16S-JUN2_F26.fq	VIVO6-FEC-16S-JUN15_M37.fq	VIVO6-FEC-16S-JUN2_POOL-F8.fq	VIVO6-FEC-16S-APR10_F3.fq	VIVO6-FEC-16S-APR10_F8.fq	VIVO6-FEC-16S-JUN16_M39.fq	VIVO6-FEC-16S-JUN21_F34.fq	VIVO6-FEC-16S-APR10_F12.fq	VIVO6-FEC-16S-JUN21_F45.fq	VIVO6-FEC-16S-JUN13_F25.fq	VIVO6-FEC-16S-APR26_F14.fq	VIVO6-FEC-16S-JUN16_M43.fq	VIVO6-FEC-16S-JUN19_F38.fq	VIVO6-FEC-16S-JUN5_F34.fq	VIVO6-FEC-16S-JUN19_M22.fq	VIVO6-FEC-16S-JUN1_F48.fq	VIVO6-FEC-16S-MAY5_F3.fq	VIVO6-FEC-16S-JUN14_M43.fq	VIVO6-FEC-16S-JUN8_F24.fq	VIVO6-FEC-16S-JUN2_F28.fq	VIVO6-FEC-16S-JUN15_M32.fq	VIVO6-FEC-16S-JUN2_F23.fq	VIVO6-16S-DONOR2.fq	VIVO6-FEC-16S-MAY5_F8.fq	VIVO6-FEC-16S-JUN14_F48.fq	VIVO6-16S-DONOR4.fq	VIVO6-FEC-16S-JUN7_M39.fq	VIVO6-FEC-16S-JUN9_F49.fq	VIVO6-FEC-16S-JUN2_F25.fq	VIVO6-FEC-16S-JUN15_F34.fq	VIVO6-FEC-16S-JUN7_M43.fq	VIVO6-FEC-16S-JUN8_M22.fq	VIVO6-FEC-16S-MAY17_F17.fq	VIVO6-FEC-16S-JUN5_F28.fq	VIVO6-FEC-16S-JUN19_F24.fq	VIVO6-FEC-16S-JUN5_M32.fq	VIVO6-FEC-16S-APR26_F8.fq	VIVO6-FEC-16S-JUN21_F48.fq	VIVO6-FEC-16S-APR26_F3.fq	VIVO6-FEC-16S-JUN13_F23.fq	VIVO6-FEC-16S-APR26_F12.fq	VIVO6-FEC-16S-JUN21_M43.fq	VIVO6-FEC-16S-APR10_F14.fq	VIVO6-FEC-16S-JUN21_M32.fq	VIVO6-FEC-16S-JUN19_F23.fq	VIVO6-FEC-16S-JUN1_F49.fq	VIVO6-FEC-16S-JUN16_M42.fq	VIVO6-FEC-16S-JUN19_M39.fq	VIVO6-FEC-16S-APR26_F15.fq	VIVO6-FEC-16S-JUN21_M44.fq	VIVO6-FEC-16S-JUN13_F24.fq	VIVO6-FEC-16S-JUN7_F17.fq	VIVO6-FEC-16S-JUN19_F28.fq	VIVO6-FEC-16S-JUN14_F49.fq	VIVO6-FEC-16S-JUN15_M29.fq	VIVO6-16S-DONOR3.fq	VIVO6-FEC-16S-JUN15_F33.fq	VIVO6-FEC-16S-JUN2_M22.fq	VIVO6-FEC-16S-MAY18_F11.fq	VIVO6-FEC-16S-JUN7_M44.fq	VIVO6-FEC-16S-JUN15_F38.fq	VIVO6-FEC-16S-MAY5_F14.fq	VIVO6-FEC-16S-JUN14_M42.fq	VIVO6-FEC-16S-MAY5_F2.fq	VIVO6-FEC-16S-JUN9_F45.fq	VIVO6-FEC-16S-JUN8_F25.fq	VIVO6-FEC-16S-JUN1_POOL-F11.fq	VIVO6-FEC-16S-JUN8_F23.fq	VIVO6-FEC-16S-MAY5_F12.fq	VIVO6-FEC-16S-JUN14_M44.fq	VIVO6-FEC-16S-JUN7_M42.fq	VIVO6-FEC-16S-JUN2_F24.fq	VIVO6-FEC-16S-JUN28_F45.fq	VIVO6-FEC-16S-JUN13_F11.fq	VIVO6-FEC-16S-JUN7_F38.fq	VIVO6-FEC-16S-JUN8_F28.fq	VIVO6-FEC-16S-JUN9_F48.fq	VIVO6-FEC-16S-JUN21_F33.fq	VIVO6-FEC-16S-JUN2_POOL-F14.fq	VIVO6-FEC-16S-JUN13_F38.fq	VIVO6-FEC-16S-JUN21_M42.fq	VIVO6-FEC-16S-JUN13_M22.fq	VIVO6-FEC-16S-APR26_F2.fq	VIVO6-FEC-16S-JUN21_M29.fq	VIVO6-FEC-16S-APR10_F15.fq	VIVO6-FEC-16S-JUN5_F33.fq	VIVO6-FEC-16S-JUN21_F49.fq	VIVO6-FEC-16S-APR26_F9.fq	VIVO6-FEC-16S-JUN16_M44.fq	VIVO6-FEC-16S-JUN19_F25.fq	VIVO6-FEC-16S-JUN5_M29.fq
100886																																																																																												40.88738127544098																																																																	
102684								33.54024829942023			281.3291621023729			47.90466064459782		21.60597153382931			37.13852609972863		38.27362438406272	71.19386255931248								22.47056195016797	207.39693314761269							16.649488968032674				49.12306709081344										74.28281055950929				25.326651826062005							26.72101080531645			174.06850001876904		15.87110013268592				56.35255865595085							34.16525770484099																												167.27837126322038							48.267925032865975											91.50777380205358		54.84993512855336						121.89917839982192		20.74603226178597					83.13821175479963	82.04970641548566					39.850185487178514											
105229																																																																																																																																																							1.0042643923240937						
105841		115.27200610395882	22.29773572978093		15.909139906985654					110.58825298015316															14.324134245581355			27.857255221304783																	148.7500554824717													65.44400831303807			37.294819629528575	50.1814675224412							31.019370243102586				22.66936463290905							74.4483255444478							95.32712529070729			69.71807416531632	40.85943784472512					111.3303943217251						494.4340520133932	56.41717735628218	52.233754804900826						15.72632967048272									127.62587017049678	116.17069827611296	27.43600533968722		62.30482775141242																													153.0104262328819	70.9154890295581	70.38930587666663			212.29096450932985
106588																																								14.0054250389168																																																																																																																					
1229621		45.14694127728221	11.02711036598923		99.74854637903287					36.15101824327182																		11.343564927099097																	28.94936559493179													18.724953651181902			14.798277484682057	23.96003452631813																		17.593113809304377							34.57367336202737			14.171829138830164	355.6345446371827					28.193445587289045						71.0510448490329	20.761824596391488	624.5107100544063															24.571063052376545	1207.5075014939764			19.39673249940912																													15.646600121315815	708.8562592207494	19.709940323856625			34.5004199021035
1246																																											20.73359073359073																																																																																																																		
1304																																											133.06061605622855																																														207.04811332685497																																	134.830881953808																																			
1308																																											32.92868492133618																																														13.312629261873605																																																																				
1311																																																																																																																																					17.340638423244148																								
1335								583.7830700107925		14.040967923466516	2888.761964782028			385.1883259409163		203.8344030580005			432.9614533047026		419.2317549721972	642.2838242366224								356.3964492566895	3015.2882335961094		253.1490809696179					216.7694423517137				544.343392814343	14.336949560422031									892.2331650153199	68.42898906068433			565.8510655565261							592.1867441794577			1899.587182800733		429.6695251395645				993.9758038123788							308.569563091498														40.32756167620576														1726.5344164688202							282.59792743776666											928.7978708802812		737.260674342208						2289.249077379807		242.72404969808105					914.9433529940932	1051.5668519913445					529.4210430792348											
1349415																															16.872134267006988																																																																												12.273174454932228																										11.432213370869077																								
1351											14.57592260086633											11.192370887307169				11.14279356632295																			24.18916341375124																	12.17063654798406		1.0																																																																												10.164629775746825	17.19463627247975																55.16268476967034
1352	136.00269935751726		292.10733202699583				85.9522106992514		429.599396138772		527.0974421624124	36.1284268679954					41.31204001691218			468.8275953275928	190.33580741086823		66.4835555530245	76.20849141378706	21.781009271583866	257.1875855527683	371.10022166309534		431.8757790127933		495.1378919693328		25.13133867557081		602.8170761387104				191.57629945216385	495.1579097121485	317.37229663750986			121.52829562510206	53.971294212251394		763.7451824695819	1140.1460783489902			17.1326183599723			49.63068745022128	19.1889134876697				10.000000001346	233.42936813055888		52.17346484885369	13.594775574878492	2.0		94.79872309507712	16.879565698863995	22.39946328131485	17.024682329117194			12.200838970653871			195.00676834188235	2453.589957882376	26.36114953173762	352.2862462429079	10.699641881871605		18.89656878617377			202.25475665680668		36.048601748754585		56.34525250155244		17.488379245424444							618.616256783753	42.23032387105391	64.40866673767663	139.11119181411306	198.3406866673056			13.33698382077118	12.140902644297348	17.347967731193524	70.06816501881158	479.2842653751964			240.3630857974444		557.6042758955617		392.80096978481	1337.9424289107596	117.2098211183945	230.25564554439327			410.1153742021402				49.79166812505237	205.04456133521708		35.075820411327115	47.64441199782362	18.09484701848153		80.14167226435421	18.933407243346966	45.45443546579898	34.663033631536244	1217.561717547325	184.86734279940427	80.3155345723467	187.5953612944708	42.532682297542216		62.10602027771344	11.077704130737986		253.1556018198505		241.735602060664	207.78261395644736	32.20961418529435	97.48650008060376				293.67147255892803	398.8365683626653	551.5725103457735	
1353	34.02342802790599	63.72489916255941	53.84928072260457			14.28129590043886			100.53880979580248	28.29851849733595	57.509470247085375													74.04027626330246	21.93660807882167	57.82390213977956		49.22488984747845				39.55463221205731							5.029257492281988	24.647219095225264				29.75047889982213	208.2295856501264				30.12538368100373					20.408488952677995	116.14047818301276				6.749489610512011		44.06305409617095	53.37205081288664					16.146109819448927		45.54675418470176							61.11708568722092				23.67252822448649	40.766684505167966	13.041939419551635			21.43340114059096		12.951009150007994			60.63783728632193				140.39130548074985				33.177645298884364		18.74467387358924	22.26895838881221	165.6765999109654	33.5066262386809							14.308869245602564	18.777822021504782							244.79814492281565	33.54393737322525	25.18297872340425	61.46745546485341				14.048564970370656						18.23688519356232	41.088179782804495	20.122213709167763	19.000491900486114							21.717239142142425	47.471281340635805	75.69064438409261		12.909145819539562					125.3996855444164		63.90306512741389		24.02118786133869			71.57783202717626
1354											27.470695632090298										16.25971243682273																	20.37914720953172														21.719615855642346											71.23147682695009					29.03250983836177								15.256049561629526			56.82958136808404																																					12.313450687713123																							2.975519264283847	20.56274396303937																	
1358																													15.04172461752434					2609.528028933092		16.06544996853367				11.015979339843437										1967.7654717317653														498.0000387189192						36.13007724894094	1110.9548936170213			43.17479674796749																																			174.0																					11.045867309117863																					440.8720682302772						
1363																																			18.032662992914865						13.057627171457286						84.07654461991125	34.22547807903772											6.0																61.40892905255925																						194.87405205672232																			86.09430105821427										13.077460819143056			1.0		20.083857442347966					119.66354271914746	22.700859773193105								10.068928950159068		10.132325141776938								22.404613406841868		
1414720																																											188.85317752020435																																																																53.813489679617845																																																		
1469948																															27.299641398497517																																																																												16.986456372870865																																																		
1496	133.70656084524282		10.098719316969053		30.431482221334427	87.7256021884944	69.51779267276919		340.4613307073327			391.08011484769065	84.12428519214683		23.375302384908693		49.47241732241296	22.21533442088091		58.59924592738398			103.75464303894746	426.6062088209369		27.35099114675608	134.1282599850495		88.94079093704502			279.83701401282593			80.24587960714987		82.3012692058252		5.713513468958493	623.7946893861036	80.92731525615703			207.620492701499	43.49484161942724	16.241834751013084	102.43522790576256	37.2332874127568			91.57007995875514			202.38011793802744	892.6304400854307		28.60949868073879		57.99999989673982	123.77794148096112	26.11270015792497	20.28658497431017			59.82246062460768		741.6388321177234						16.14927113702624		25.16759893042396	865.9240657355889	45.62874274845016	31.49732620320855			88.69357017955875	73.94876853837843	15.168329177057393	48.53062886816091	185.5196430571926	93.08936527684764	18.147264621834005	22.13562074621243			17.807995767822014			62.716786618170296	25.062639198218104		160.07119682809707	162.5862136939784	60.431878015170014	91.39992009588646	328.4302630264727			41.07823799501907	198.6124181455965	227.63393790232783		31.30723490765953	1.0	11.135534273324796	1351.2782218037544	16.426419466975666	30.343112879164597		48.01263001611987	30.228637413394416	216.18247346743996	126.79805260196504		78.57065693670425	28.361904761904764					32.41104688503532		28.06061656295163	4.0	23.09590437361008	71.29769392033543	517.7401814195565		160.6445204831375		76.48624051508374	67.42914384130516	78.1006451610832	8.017410003338943			540.8982379312058	61.49190558347145		84.57900000725655		20.26470839686413	44.40770976920025	126.06522004854668	29.99032361249991			38.98101746393319		11.192982456140353	242.42374861325516	
