mouse,diet,inoculum,group,sex,breeding.pair,litter.dob
2,CON,H,1,F,1,2023-05-12
3,CON,H,1,F,1,2023-05-12
8,MAL,S,2,F,3,2023-05-13
9,MAL,S,2,F,3,2023-05-09
11,MAL,S,2,F,4,2023-05-11
12,MAL,S,2,F,4,2023-05-12
14,MAL,H,3,F,5,2023-05-12
15,MAL,H,3,F,5,2023-05-18
17,MAL,H,3,F,6,2023-05-10
