SampleName,Batch,GermFree,SampleType,Group,AnimalID,DonorID,MouseSex,DonorHealthStatus,Dam,SampleShortName,PostnatalDay,DaysSinceWeaning,DaysSinceFMT
VIVO6-FEC-16S-JUN9_F49,3,N,Pup,3,VIVO6-F49,2,F,H,VIVO6-F17,F49-P30,30,0,
VIVO6-FEC-16S-JUN14_F49,3,N,Pup,3,VIVO6-F49,2,F,H,VIVO6-F17,F49-P35,35,5,
VIVO6-FEC-16S-JUN21_F49,3,N,Pup,3,VIVO6-F49,2,F,H,VIVO6-F17,F49-P42,42,2,
VIVO6-FEC-16S-JUN1_F50,3,N,Pup,3,VIVO6-F50,2,F,H,VIVO6-F17,F50-P22,22,-8,
VIVO6-FEC-16S-JUN14_F50,3,N,Pup,3,VIVO6-F50,2,F,H,VIVO6-F17,F50-P35,35,5,
VIVO6-FEC-16S-APR26_F8,1,N,Breeder,2,VIVO6-F8,3,F,S,,F8-FMT+14,,,14
VIVO6-FEC-16S-MAY19_F8,1,N,Breeder,2,VIVO6-F8,3,F,S,,F8-POSTNATAL,,,37
VIVO6-FEC-16S-APR10_F8,1,Y,Breeder,2,VIVO6-F8,3,F,S,,F8-GF,,,-2
VIVO6-FEC-16S-MAY5_F8,1,N,Breeder,2,VIVO6-F8,3,F,S,,F8-PRENATAL,,,23
VIVO6-FEC-16S-JUN13_F8,1,N,Breeder,2,VIVO6-F8,3,F,S,,F8-WEAN,,,62
VIVO6-FEC-16S-APR26_F9,1,N,Breeder,2,VIVO6-F9,3,F,S,,F9-FMT+14,,,14
VIVO6-FEC-16S-MAY16_F9,1,N,Breeder,2,VIVO6-F9,3,F,S,,F9-POSTNATAL,,,34
VIVO6-FEC-16S-APR10_F9,1,Y,Breeder,2,VIVO6-F9,3,F,S,,F9-GF,,,-2
VIVO6-FEC-16S-MAY3_F9,1,N,Breeder,2,VIVO6-F9,3,F,S,,F9-PRENATAL,,,21
VIVO6-FEC-16S-JUN13_F9,1,N,Breeder,2,VIVO6-F9,3,F,S,,F9-WEAN,,,62
VIVO6-FEC-16S-JUN2_M19,2,N,Pup,1,VIVO6-M19,1,M,H,VIVO6-F2,M19-P21,21,-6,
VIVO6-FEC-16S-JUN13_M19,2,N,Pup,1,VIVO6-M19,1,M,H,VIVO6-F2,M19-P32,32,5,
VIVO6-FEC-16S-JUN19_M19,2,N,Pup,1,VIVO6-M19,1,M,H,VIVO6-F2,M19-P38,38,11,
VIVO6-FEC-16S-JUN2_M20,2,N,Pup,1,VIVO6-M20,1,M,H,VIVO6-F2,M20-P21,21,-6,
VIVO6-FEC-16S-JUN13_M20,2,N,Pup,1,VIVO6-M20,1,M,H,VIVO6-F2,M20-P32,32,5,
VIVO6-FEC-16S-JUN19_M20,2,N,Pup,1,VIVO6-M20,1,M,H,VIVO6-F2,M20-P38,38,11,
VIVO6-FEC-16S-JUN2_M21,2,N,Pup,1,VIVO6-M21,1,M,H,VIVO6-F2,M21-P21,21,-6,
VIVO6-FEC-16S-JUN13_M21,2,N,Pup,1,VIVO6-M21,1,M,H,VIVO6-F2,M21-P32,32,5,
VIVO6-FEC-16S-JUN19_M21,2,N,Pup,1,VIVO6-M21,1,M,H,VIVO6-F2,M21-P38,38,11,
VIVO6-FEC-16S-JUN2_M22,2,N,Pup,1,VIVO6-M22,1,M,H,VIVO6-F2,M22-P21,21,-6,
VIVO6-FEC-16S-JUN8_M22,2,N,Pup,1,VIVO6-M22,1,M,H,VIVO6-F2,M22-P27,27,0,
VIVO6-FEC-16S-JUN13_M22,2,N,Pup,1,VIVO6-M22,1,M,H,VIVO6-F2,M22-P32,32,5,
VIVO6-FEC-16S-JUN19_M22,2,N,Pup,1,VIVO6-M22,1,M,H,VIVO6-F2,M22-P38,38,11,
VIVO6-FEC-16S-JUN5_M29,2,N,Pup,2,VIVO6-M29,3,M,S,VIVO6-F8,M29-P23,23,-10,
VIVO6-FEC-16S-JUN15_M29,3,N,Pup,2,VIVO6-M29,3,M,S,VIVO6-F8,M29-P33,33,0,
VIVO6-FEC-16S-JUN21_M29,3,N,Pup,2,VIVO6-M29,3,M,S,VIVO6-F8,M29-P39,39,6,
VIVO6-FEC-16S-JUN5_M32,2,N,Pup,2,VIVO6-M32,3,M,S,VIVO6-F9,M32-P27,27,-10,
VIVO6-FEC-16S-JUN15_M32,3,N,Pup,2,VIVO6-M32,3,M,S,VIVO6-F9,M32-P37,37,0,
VIVO6-FEC-16S-JUN21_M32,3,N,Pup,2,VIVO6-M32,3,M,S,VIVO6-F9,M32-P43,43,6,
VIVO6-FEC-16S-JUN7_M36,2,N,Pup,2,VIVO6-M36,4,M,S,VIVO6-F11,M36-P27,27,-6,
VIVO6-FEC-16S-JUN13_M36,3,N,Pup,2,VIVO6-M36,4,M,S,VIVO6-F11,M36-P33,33,0,
VIVO6-FEC-16S-JUN15_M36,3,N,Pup,2,VIVO6-M36,4,M,S,VIVO6-F11,M36-P35,35,2,
