litter,date,weight,length.body,length.tail
9,2023-06-08,6,55,39
9,2023-06-13,8.4,60,48
9,2023-06-13,9.1,59,39
9,2023-06-13,7.9,58,46
9,2023-06-15,9.1,60,48
9,2023-06-15,9.2,64,42
9,2023-06-15,8.4,60,46
9,2023-06-21,12.2,76,49
9,2023-06-21,12.2,75,47
9,2023-06-21,10,72,48
11,2023-05-18,2.7,,
11,2023-05-18,2,,
11,2023-05-18,2.5,,
11,2023-05-18,2.7,,
11,2023-05-18,2.4,,
11,2023-05-18,2.6,,
11,2023-05-23,3.9,,
11,2023-05-23,4,,
11,2023-05-23,3.2,,
11,2023-05-23,4,,
11,2023-05-23,4.2,,
11,2023-05-25,4.4,,
11,2023-05-25,4.2,,
11,2023-05-25,3.3,,
11,2023-05-25,4.4,,
11,2023-05-25,4.3,,
11,2023-05-29,5.1,,
11,2023-05-29,5.2,,
11,2023-05-29,3.9,,
11,2023-06-01,6.6,56,39
11,2023-06-01,6.6,56,42
11,2023-06-01,4.7,52,35
11,2023-06-07,10.4,62,48
11,2023-06-07,9.7,62,47
11,2023-06-07,6.4,59,43
11,2023-06-09,10.3,70,52
11,2023-06-09,10.7,69,54
11,2023-06-09,7.1,64,48
11,2023-06-13,11.9,76,56
11,2023-06-13,12.2,74,56
11,2023-06-13,7.7,67,52
11,2023-06-15,12.7,76,57
11,2023-06-15,13.3,78,58
11,2023-06-15,8.3,67,52
11,2023-06-19,14.6,81,57
11,2023-06-19,15.3,82,60
11,2023-06-19,9.3,74,52
12,2023-05-19,2.8,,
12,2023-05-19,2.6,,
12,2023-05-19,3,,
12,2023-05-19,2.5,,
12,2023-05-23,3.6,,
12,2023-05-23,3.6,,
12,2023-05-23,3.1,,
12,2023-05-23,3.6,,
12,2023-05-26,3.7,,
12,2023-05-26,3.9,,
12,2023-05-26,3.2,,
12,2023-05-26,3.3,,
12,2023-05-29,4,,
12,2023-05-29,4,,
12,2023-05-29,3.6,,
12,2023-05-29,3.4,,
12,2023-06-02,4.7,,
12,2023-06-02,4.7,,
12,2023-06-02,4,,
12,2023-06-05,6.1,57,41
12,2023-06-05,5.7,58,42
12,2023-06-05,5.2,52,41
12,2023-06-07,6.7,57,43
12,2023-06-07,6.6,59,48
12,2023-06-07,5.8,56,45
12,2023-06-14,9.4,62,47
12,2023-06-14,9,69,49
12,2023-06-14,7.6,64,49
12,2023-06-16,9.9,69,51
12,2023-06-16,9.9,69,54
12,2023-06-16,8.4,66,49
12,2023-06-19,11.2,72,54
12,2023-06-19,11.3,73,54
12,2023-06-19,9.7,69,52
14,2023-05-19,2.7,,
14,2023-05-19,2.7,,
14,2023-05-19,2.7,,
14,2023-05-19,2.6,,
14,2023-05-19,2.4,,
14,2023-05-25,4,45,32
14,2023-05-25,4,,
14,2023-05-25,4,,
14,2023-05-25,3.8,,
14,2023-05-25,3.9,,
14,2023-05-26,3.9,,
14,2023-05-26,4.2,,
14,2023-05-26,4.2,,
14,2023-05-26,4.1,,
14,2023-05-26,3.9,,
14,2023-05-29,4.3,,
14,2023-05-29,4.3,,
14,2023-05-29,4.5,,
14,2023-05-29,4.3,,
14,2023-05-29,4,,
14,2023-06-02,5.8,53,41
14,2023-06-02,5.6,52,44
14,2023-06-02,5.4,52,42
14,2023-06-07,8.1,62,41
14,2023-06-07,7.4,59,47
14,2023-06-07,6.8,56,47
14,2023-06-09,11.7,63,41
14,2023-06-09,7.9,61,47
14,2023-06-09,7.1,57,51
14,2023-06-14,10,65,45
14,2023-06-14,9.6,66,52
14,2023-06-14,7.9,65,55
14,2023-06-16,10.8,65,45
14,2023-06-16,10.1,66,52
14,2023-06-16,9.3,65,55
14,2023-06-21,12.6,75,48
14,2023-06-21,12,75,59
14,2023-06-21,9.6,71,56
15,2023-05-25,2,,
15,2023-05-25,2.7,,
15,2023-05-25,2.6,,
15,2023-05-25,2.7,,
15,2023-05-25,2.7,,
15,2023-05-31,3.7,,
15,2023-05-31,3.9,,
15,2023-05-31,3.1,,
15,2023-05-31,3.7,,
15,2023-05-31,3.7,,
15,2023-06-07,5,51,39
15,2023-06-07,5.3,48,40
15,2023-06-07,3.3,,
15,2023-06-09,5.4,54,45
15,2023-06-09,5.8,56,42
15,2023-06-09,3.4,,
15,2023-06-14,8.6,59,49
15,2023-06-14,8.7,56,51
15,2023-06-14,4,45,42
15,2023-06-16,9.2,64,52
15,2023-06-16,9.4,61,51
15,2023-06-16,4.2,51,42
15,2023-06-21,11.1,72,55
15,2023-06-21,11.2,71,55
15,2023-06-21,4.9,56,49
15,2023-06-26,12.8,77,57
15,2023-06-26,12.4,76,57
15,2023-06-28,13.6,77,59
15,2023-06-28,13.5,77,58
17,2023-05-17,3.1,,
17,2023-05-17,3.2,,
17,2023-05-17,2.9,,
17,2023-05-17,3,,
17,2023-05-19,3.9,,
17,2023-05-19,3.4,,
17,2023-05-19,3.7,,
17,2023-05-19,3.8,,
17,2023-05-23,4.2,,
17,2023-05-23,4.5,,
17,2023-05-23,4.5,,
17,2023-05-23,4.5,,
17,2023-05-25,4.1,48,34
17,2023-05-25,4.7,48,35
17,2023-05-25,4.3,48,36
17,2023-05-25,4.5,48,34
17,2023-05-31,6.4,55,44
17,2023-05-31,6.2,54,45
17,2023-05-31,6.4,57,43
17,2023-06-01,6.8,55,46
17,2023-06-01,6.4,56,46
17,2023-06-01,6.8,59,43
17,2023-06-07,9.1,58,46
17,2023-06-07,8.3,60,47
17,2023-06-07,9.1,61,49
17,2023-06-09,10.6,72,54
17,2023-06-09,9.6,69,53
17,2023-06-09,10.5,72,54
17,2023-06-14,11.9,75,55
17,2023-06-14,10.4,71,55
17,2023-06-14,11.7,73,59
17,2023-06-16,12.6,76,58
17,2023-06-16,11.8,75,56
17,2023-06-16,12.3,74,59
17,2023-06-21,14.4,80,58
17,2023-06-21,12,75,58
17,2023-06-21,13.7,77,60
