"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Enterococcus faecium-1352"	"PrePostFVT"	"Post"	"PrePostFVTPost"	0.904698702560877	-0.2004283867957	0.261816148997576	0.00295053074129946	0.318657320060342	0.00295053074129946	0.203586621149663	NA	"abundance"	24	24
"Faecalicoccus pleomorphus-1323"	"PrePostFVT"	"Post"	"PrePostFVTPost"	1.08001229762128	-0.2004283867957	0.39873931579251	0.00934818069904442	0.504801757748399	0.0186089729157069	0.364780082333235	NA	"abundance"	24	23
"Anaerostipes caccae-105841"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.26011133386637	-0.2004283867957	0.348397256054698	0.015230723163959	0.545391859802234	0.015230723163959	0.364780082333235	NA	"abundance"	24	24
"Escherichia coli-562"	"PrePostFVT"	"During"	"PrePostFVTDuring"	-1.12083119202176	0.113642937049257	0.463823544942726	0.0211466714396078	0.545391859802234	0.0211466714396078	0.364780082333235	NA	"abundance"	24	24
"Ruthenibacterium lactatiformans-1550024"	"PrePostFVT"	"Post"	"PrePostFVTPost"	0.631422747091432	-0.2004283867957	0.306971224611947	0.0353494723945893	0.545391859802234	0.0694493595906027	0.479200581175158	NA	"abundance"	24	23
"Enterobacter hormaechei-158836"	"PrePostFVT"	"Post"	"PrePostFVTPost"	2.63917951200744	0	1.23201547656475	0.0321802670184684	0.545391859802234	0.0633249644515568	0.479200581175158	NA	"prevalence"	24	9
"Staphylococcus sciuri-1296"	"PrePostFVT"	"Post"	"PrePostFVTPost"	4.00575237809788	0	1.8703736132209	0.0322187840551644	0.545391859802234	0.0633995180643356	0.479200581175158	NA	"prevalence"	24	14
"[Ruminococcus] gnavus-33038"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.10454705849266	-0.2004283867957	0.408920007684112	0.0619067887461343	0.559956486566065	0.0619067887461343	0.479200581175158	NA	"abundance"	24	24
"Erysipelatoclostridium ramosum-1547"	"PrePostFVT"	"Post"	"PrePostFVTPost"	-1.28985261012322	-0.2004283867957	0.406067381669387	0.0622173873962295	0.559956486566065	0.0622173873962295	0.479200581175158	NA	"abundance"	24	9
"Flintibacter sp. KGMB00164-2610895"	"PrePostFVT"	"During"	"PrePostFVTDuring"	-0.751824641538904	0.113642937049257	0.386542272531074	0.0537556005612961	0.559956486566065	0.0537556005612961	0.479200581175158	NA	"abundance"	24	24
